Array's before assembler replace:
A[0]: 0; B[346]: 0
A[1]: 0; B[130]: 1
A[2]: 0; B[10982]: 2
A[3]: 0; B[1090]: 3
A[4]: 0; B[11656]: 4
A[5]: 0; B[7117]: 5
A[6]: 0; B[17595]: 6
A[7]: 0; B[6415]: 7
A[8]: 0; B[22948]: 8
A[9]: 0; B[31126]: 9
A[10]: 0; B[9004]: 10
A[11]: 0; B[14558]: 11
A[12]: 0; B[3571]: 12
A[13]: 0; B[22879]: 13
A[14]: 0; B[18492]: 14
A[15]: 0; B[1360]: 15
A[16]: 0; B[5412]: 16
A[17]: 0; B[26721]: 17
A[18]: 0; B[22463]: 18
A[19]: 0; B[25047]: 19
A[20]: 0; B[27119]: 20
A[21]: 0; B[31441]: 21
A[22]: 0; B[7190]: 22
A[23]: 0; B[13985]: 23
A[24]: 0; B[31214]: 24
A[25]: 0; B[27509]: 25
A[26]: 0; B[30252]: 26
A[27]: 0; B[26571]: 27
A[28]: 0; B[14779]: 28
A[29]: 0; B[19816]: 29
A[30]: 0; B[21681]: 30
A[31]: 0; B[19651]: 31
A[32]: 0; B[17995]: 32
A[33]: 0; B[23593]: 33
A[34]: 0; B[3734]: 34
A[35]: 0; B[13310]: 35
A[36]: 0; B[3979]: 36
A[37]: 0; B[21995]: 37
A[38]: 0; B[15561]: 38
A[39]: 0; B[16092]: 39
A[40]: 0; B[18489]: 40
A[41]: 0; B[11288]: 41
A[42]: 0; B[28466]: 42
A[43]: 0; B[8664]: 43
A[44]: 0; B[5892]: 44
A[45]: 0; B[13863]: 45
A[46]: 0; B[22766]: 46
A[47]: 0; B[5364]: 47
A[48]: 0; B[17639]: 48
A[49]: 0; B[21151]: 49
A[50]: 0; B[20427]: 50
A[51]: 0; B[100]: 51
A[52]: 0; B[25795]: 52
A[53]: 0; B[8812]: 53
A[54]: 0; B[15108]: 54
A[55]: 0; B[12666]: 55
A[56]: 0; B[12347]: 56
A[57]: 0; B[19042]: 57
A[58]: 0; B[19774]: 58
A[59]: 0; B[9169]: 59
A[60]: 0; B[5589]: 60
A[61]: 0; B[26383]: 61
A[62]: 0; B[9666]: 62
A[63]: 0; B[10941]: 63
A[64]: 0; B[13390]: 64
A[65]: 0; B[7878]: 65
A[66]: 0; B[13565]: 66
A[67]: 0; B[1779]: 67
A[68]: 0; B[16190]: 68
A[69]: 0; B[32233]: 69
A[70]: 0; B[53]: 70
A[71]: 0; B[13429]: 71
A[72]: 0; B[2285]: 72
A[73]: 0; B[2422]: 73
A[74]: 0; B[8333]: 74
A[75]: 0; B[31937]: 75
A[76]: 0; B[11636]: 76
A[77]: 0; B[13268]: 77
A[78]: 0; B[6460]: 78
A[79]: 0; B[6458]: 79
A[80]: 0; B[6936]: 80
A[81]: 0; B[8160]: 81
A[82]: 0; B[24842]: 82
A[83]: 0; B[29142]: 83
A[84]: 0; B[29667]: 84
A[85]: 0; B[24115]: 85
A[86]: 0; B[15116]: 86
A[87]: 0; B[17418]: 87
A[88]: 0; B[1156]: 88
A[89]: 0; B[4279]: 89
A[90]: 0; B[15008]: 90
A[91]: 0; B[15859]: 91
A[92]: 0; B[19561]: 92
A[93]: 0; B[8297]: 93
A[94]: 0; B[3755]: 94
A[95]: 0; B[22981]: 95
A[96]: 0; B[21275]: 96
A[97]: 0; B[29040]: 97
A[98]: 0; B[28690]: 98
A[99]: 0; B[1401]: 99
A[100]: 0; B[18137]: 100
A[101]: 0; B[16735]: 101
A[102]: 0; B[20343]: 102
A[103]: 0; B[25267]: 103
A[104]: 0; B[8312]: 104
A[105]: 0; B[7111]: 105
A[106]: 0; B[7733]: 106
A[107]: 0; B[10993]: 107
A[108]: 0; B[18554]: 108
A[109]: 0; B[4353]: 109
A[110]: 0; B[20126]: 110
A[111]: 0; B[1018]: 111
A[112]: 0; B[31086]: 112
A[113]: 0; B[6970]: 113
A[114]: 0; B[26484]: 114
A[115]: 0; B[20614]: 115
A[116]: 0; B[23431]: 116
A[117]: 0; B[23999]: 117
A[118]: 0; B[18086]: 118
A[119]: 0; B[18730]: 119
A[120]: 0; B[5504]: 120
A[121]: 0; B[10891]: 121
A[122]: 0; B[28492]: 122
A[123]: 0; B[27015]: 123
A[124]: 0; B[20143]: 124
A[125]: 0; B[31246]: 125
A[126]: 0; B[32484]: 126
A[127]: 0; B[32180]: 127
A[128]: 0; B[24168]: 128
A[129]: 0; B[16704]: 129
A[130]: 0; B[9679]: 130
A[131]: 0; B[23528]: 131
A[132]: 0; B[9365]: 132
A[133]: 0; B[20966]: 133
A[134]: 0; B[16135]: 134
A[135]: 0; B[5740]: 135
A[136]: 0; B[18323]: 136
A[137]: 0; B[12580]: 137
A[138]: 0; B[25378]: 138
A[139]: 0; B[12736]: 139
A[140]: 0; B[21327]: 140
A[141]: 0; B[4164]: 141
A[142]: 0; B[4748]: 142
A[143]: 0; B[11020]: 143
A[144]: 0; B[30113]: 144
A[145]: 0; B[21445]: 145
A[146]: 0; B[21249]: 146
A[147]: 0; B[23243]: 147
A[148]: 0; B[21480]: 148
A[149]: 0; B[21672]: 149
A[150]: 0; B[23625]: 150
A[151]: 0; B[32691]: 151
A[152]: 0; B[13799]: 152
A[153]: 0; B[18422]: 153
A[154]: 0; B[12344]: 154
A[155]: 0; B[32231]: 155
A[156]: 0; B[480]: 156
A[157]: 0; B[30870]: 157
A[158]: 0; B[14821]: 158
A[159]: 0; B[7776]: 159
A[160]: 0; B[17903]: 160
A[161]: 0; B[16205]: 161
A[162]: 0; B[20522]: 162
A[163]: 0; B[23192]: 163
A[164]: 0; B[19113]: 164
A[165]: 0; B[25878]: 165
A[166]: 0; B[14172]: 166
A[167]: 0; B[121]: 167
A[168]: 0; B[27381]: 168
A[169]: 0; B[23461]: 169
A[170]: 0; B[32332]: 170
A[171]: 0; B[14982]: 171
A[172]: 0; B[11562]: 172
A[173]: 0; B[30774]: 173
A[174]: 0; B[21118]: 174
A[175]: 0; B[18505]: 175
A[176]: 0; B[22889]: 176
A[177]: 0; B[7323]: 177
A[178]: 0; B[10152]: 178
A[179]: 0; B[29436]: 179
A[180]: 0; B[2365]: 180
A[181]: 0; B[31365]: 181
A[182]: 0; B[20079]: 182
A[183]: 0; B[2683]: 183
A[184]: 0; B[27762]: 184
A[185]: 0; B[23826]: 185
A[186]: 0; B[22109]: 186
A[187]: 0; B[30313]: 187
A[188]: 0; B[16179]: 188
A[189]: 0; B[9367]: 189
A[190]: 0; B[22310]: 190
A[191]: 0; B[10146]: 191
A[192]: 0; B[11623]: 192
A[193]: 0; B[24752]: 193
A[194]: 0; B[32028]: 194
A[195]: 0; B[30177]: 195
A[196]: 0; B[8013]: 196
A[197]: 0; B[13446]: 197
A[198]: 0; B[29935]: 198
A[199]: 0; B[13747]: 199
A[200]: 0; B[11094]: 200
A[201]: 0; B[29025]: 201
A[202]: 0; B[4778]: 202
A[203]: 0; B[4763]: 203
A[204]: 0; B[10563]: 204
A[205]: 0; B[4974]: 205
A[206]: 0; B[20459]: 206
A[207]: 0; B[31111]: 207
A[208]: 0; B[8831]: 208
A[209]: 0; B[3281]: 209
A[210]: 0; B[32099]: 210
A[211]: 0; B[8051]: 211
A[212]: 0; B[7103]: 212
A[213]: 0; B[2798]: 213
A[214]: 0; B[17294]: 214
A[215]: 0; B[28764]: 215
A[216]: 0; B[29656]: 216
A[217]: 0; B[8693]: 217
A[218]: 0; B[20147]: 218
A[219]: 0; B[29287]: 219
A[220]: 0; B[21472]: 220
A[221]: 0; B[2732]: 221
A[222]: 0; B[16926]: 222
A[223]: 0; B[26962]: 223
A[224]: 0; B[27785]: 224
A[225]: 0; B[24193]: 225
A[226]: 0; B[20125]: 226
A[227]: 0; B[17948]: 227
A[228]: 0; B[31930]: 228
A[229]: 0; B[32207]: 229
A[230]: 0; B[2104]: 230
A[231]: 0; B[12016]: 231
A[232]: 0; B[23918]: 232
A[233]: 0; B[3184]: 233
A[234]: 0; B[22326]: 234
A[235]: 0; B[11096]: 235
A[236]: 0; B[3794]: 236
A[237]: 0; B[12421]: 237
A[238]: 0; B[8269]: 238
A[239]: 0; B[16543]: 239
A[240]: 0; B[666]: 240
A[241]: 0; B[32642]: 241
A[242]: 0; B[40]: 242
A[243]: 0; B[2695]: 243
A[244]: 0; B[8100]: 244
A[245]: 0; B[17788]: 245
A[246]: 0; B[13855]: 246
A[247]: 0; B[7212]: 247
A[248]: 0; B[15057]: 248
A[249]: 0; B[4791]: 249
A[250]: 0; B[6706]: 250
A[251]: 0; B[13624]: 251
A[252]: 0; B[288]: 252
A[253]: 0; B[15211]: 253
A[254]: 0; B[14918]: 254
A[255]: 0; B[5961]: 255
A[256]: 0; B[3851]: 256
A[257]: 0; B[13783]: 257
A[258]: 0; B[31396]: 258
A[259]: 0; B[1951]: 259
A[260]: 0; B[12582]: 260
A[261]: 0; B[649]: 261
A[262]: 0; B[21935]: 262
A[263]: 0; B[18698]: 263
A[264]: 0; B[2550]: 264
A[265]: 0; B[2795]: 265
A[266]: 0; B[5862]: 266
A[267]: 0; B[6675]: 267
A[268]: 0; B[6416]: 268
A[269]: 0; B[8722]: 269
A[270]: 0; B[11546]: 270
A[271]: 0; B[874]: 271
A[272]: 0; B[24435]: 272
A[273]: 0; B[5059]: 273
A[274]: 0; B[28656]: 274
A[275]: 0; B[656]: 275
A[276]: 0; B[7463]: 276
A[277]: 0; B[28103]: 277
A[278]: 0; B[29849]: 278
A[279]: 0; B[23749]: 279
A[280]: 0; B[25622]: 280
A[281]: 0; B[28529]: 281
A[282]: 0; B[19921]: 282
A[283]: 0; B[9780]: 283
A[284]: 0; B[31785]: 284
A[285]: 0; B[19309]: 285
A[286]: 0; B[21270]: 286
A[287]: 0; B[18781]: 287
A[288]: 0; B[21671]: 288
A[289]: 0; B[10186]: 289
A[290]: 0; B[19243]: 290
A[291]: 0; B[6851]: 291
A[292]: 0; B[32460]: 292
A[293]: 0; B[2123]: 293
A[294]: 0; B[5580]: 294
A[295]: 0; B[17624]: 295
A[296]: 0; B[28070]: 296
A[297]: 0; B[3818]: 297
A[298]: 0; B[12467]: 298
A[299]: 0; B[6181]: 299
A[300]: 0; B[30516]: 300
A[301]: 0; B[16046]: 301
A[302]: 0; B[13259]: 302
A[303]: 0; B[3006]: 303
A[304]: 0; B[21185]: 304
A[305]: 0; B[11439]: 305
A[306]: 0; B[8371]: 306
A[307]: 0; B[31205]: 307
A[308]: 0; B[4221]: 308
A[309]: 0; B[19302]: 309
A[310]: 0; B[8566]: 310
A[311]: 0; B[25854]: 311
A[312]: 0; B[18013]: 312
A[313]: 0; B[15418]: 313
A[314]: 0; B[4745]: 314
A[315]: 0; B[20659]: 315
A[316]: 0; B[28214]: 316
A[317]: 0; B[21321]: 317
A[318]: 0; B[29702]: 318
A[319]: 0; B[31592]: 319
A[320]: 0; B[12565]: 320
A[321]: 0; B[14708]: 321
A[322]: 0; B[7720]: 322
A[323]: 0; B[993]: 323
A[324]: 0; B[7137]: 324
A[325]: 0; B[22701]: 325
A[326]: 0; B[21767]: 326
A[327]: 0; B[18226]: 327
A[328]: 0; B[31028]: 328
A[329]: 0; B[32389]: 329
A[330]: 0; B[6036]: 330
A[331]: 0; B[743]: 331
A[332]: 0; B[19574]: 332
A[333]: 0; B[24816]: 333
A[334]: 0; B[17879]: 334
A[335]: 0; B[1909]: 335
A[336]: 0; B[10812]: 336
A[337]: 0; B[29020]: 337
A[338]: 0; B[31336]: 338
A[339]: 0; B[1760]: 339
A[340]: 0; B[27104]: 340
A[341]: 0; B[10738]: 341
A[342]: 0; B[13101]: 342
A[343]: 0; B[19374]: 343
A[344]: 0; B[27744]: 344
A[345]: 0; B[16683]: 345
A[346]: 0; B[9554]: 346
A[347]: 0; B[25613]: 347
A[348]: 0; B[29820]: 348
A[349]: 0; B[28567]: 349
A[350]: 0; B[22670]: 350
A[351]: 0; B[3392]: 351
A[352]: 0; B[19468]: 352
A[353]: 0; B[13290]: 353
A[354]: 0; B[26004]: 354
A[355]: 0; B[27471]: 355
A[356]: 0; B[12959]: 356
A[357]: 0; B[16712]: 357
A[358]: 0; B[29655]: 358
A[359]: 0; B[22767]: 359
A[360]: 0; B[20826]: 360
A[361]: 0; B[978]: 361
A[362]: 0; B[21123]: 362
A[363]: 0; B[23471]: 363
A[364]: 0; B[12303]: 364
A[365]: 0; B[26481]: 365
A[366]: 0; B[18616]: 366
A[367]: 0; B[2149]: 367
A[368]: 0; B[26524]: 368
A[369]: 0; B[19682]: 369
A[370]: 0; B[30985]: 370
A[371]: 0; B[25560]: 371
A[372]: 0; B[3463]: 372
A[373]: 0; B[22787]: 373
A[374]: 0; B[29749]: 374
A[375]: 0; B[2991]: 375
A[376]: 0; B[5335]: 376
A[377]: 0; B[2652]: 377
A[378]: 0; B[22308]: 378
A[379]: 0; B[13210]: 379
A[380]: 0; B[8245]: 380
A[381]: 0; B[16625]: 381
A[382]: 0; B[4133]: 382
A[383]: 0; B[17087]: 383
A[384]: 0; B[324]: 384
A[385]: 0; B[9287]: 385
A[386]: 0; B[10087]: 386
A[387]: 0; B[7527]: 387
A[388]: 0; B[24893]: 388
A[389]: 0; B[5044]: 389
A[390]: 0; B[9909]: 390
A[391]: 0; B[26345]: 391
A[392]: 0; B[20175]: 392
A[393]: 0; B[3308]: 393
A[394]: 0; B[31862]: 394
A[395]: 0; B[18391]: 395
A[396]: 0; B[11574]: 396
A[397]: 0; B[13513]: 397
A[398]: 0; B[30180]: 398
A[399]: 0; B[1128]: 399
A[400]: 0; B[16538]: 400
A[401]: 0; B[28250]: 401
A[402]: 0; B[11404]: 402
A[403]: 0; B[28454]: 403
A[404]: 0; B[21418]: 404
A[405]: 0; B[11312]: 405
A[406]: 0; B[775]: 406
A[407]: 0; B[984]: 407
A[408]: 0; B[12921]: 408
A[409]: 0; B[26596]: 409
A[410]: 0; B[3319]: 410
A[411]: 0; B[14002]: 411
A[412]: 0; B[30360]: 412
A[413]: 0; B[27629]: 413
A[414]: 0; B[32324]: 414
A[415]: 0; B[17339]: 415
A[416]: 0; B[24693]: 416
A[417]: 0; B[23456]: 417
A[418]: 0; B[32152]: 418
A[419]: 0; B[2688]: 419
A[420]: 0; B[14836]: 420
A[421]: 0; B[9608]: 421
A[422]: 0; B[30233]: 422
A[423]: 0; B[16887]: 423
A[424]: 0; B[32331]: 424
A[425]: 0; B[19433]: 425
A[426]: 0; B[17510]: 426
A[427]: 0; B[4278]: 427
A[428]: 0; B[17187]: 428
A[429]: 0; B[12175]: 429
A[430]: 0; B[23252]: 430
A[431]: 0; B[21845]: 431
A[432]: 0; B[7917]: 432
A[433]: 0; B[18652]: 433
A[434]: 0; B[14570]: 434
A[435]: 0; B[11040]: 435
A[436]: 0; B[2177]: 436
A[437]: 0; B[31505]: 437
A[438]: 0; B[21019]: 438
A[439]: 0; B[30465]: 439
A[440]: 0; B[27646]: 440
A[441]: 0; B[28124]: 441
A[442]: 0; B[16322]: 442
A[443]: 0; B[2221]: 443
A[444]: 0; B[28894]: 444
A[445]: 0; B[6435]: 445
A[446]: 0; B[23139]: 446
A[447]: 0; B[7182]: 447
A[448]: 0; B[11608]: 448
A[449]: 0; B[28432]: 449
A[450]: 0; B[5665]: 450
A[451]: 0; B[18161]: 451
A[452]: 0; B[17146]: 452
A[453]: 0; B[20573]: 453
A[454]: 0; B[15995]: 454
A[455]: 0; B[7921]: 455
A[456]: 0; B[8327]: 456
A[457]: 0; B[14049]: 457
A[458]: 0; B[27979]: 458
A[459]: 0; B[9123]: 459
A[460]: 0; B[25871]: 460
A[461]: 0; B[16988]: 461
A[462]: 0; B[22784]: 462
A[463]: 0; B[14595]: 463
A[464]: 0; B[8269]: 464
A[465]: 0; B[4991]: 465
A[466]: 0; B[22043]: 466
A[467]: 0; B[15903]: 467
A[468]: 0; B[27717]: 468
A[469]: 0; B[8511]: 469
A[470]: 0; B[10216]: 470
A[471]: 0; B[3074]: 471
A[472]: 0; B[7198]: 472
A[473]: 0; B[29787]: 473
A[474]: 0; B[31871]: 474
A[475]: 0; B[26851]: 475
A[476]: 0; B[31805]: 476
A[477]: 0; B[29996]: 477
A[478]: 0; B[12282]: 478
A[479]: 0; B[15247]: 479
A[480]: 0; B[24484]: 480
A[481]: 0; B[14253]: 481
A[482]: 0; B[13048]: 482
A[483]: 0; B[2836]: 483
A[484]: 0; B[30345]: 484
A[485]: 0; B[29130]: 485
A[486]: 0; B[12370]: 486
A[487]: 0; B[5807]: 487
A[488]: 0; B[10810]: 488
A[489]: 0; B[2029]: 489
A[490]: 0; B[19997]: 490
A[491]: 0; B[4600]: 491
A[492]: 0; B[31281]: 492
A[493]: 0; B[23495]: 493
A[494]: 0; B[9696]: 494
A[495]: 0; B[20812]: 495
A[496]: 0; B[5747]: 496
A[497]: 0; B[18780]: 497
A[498]: 0; B[20503]: 498
A[499]: 0; B[29307]: 499
A[500]: 0; B[13102]: 500
A[501]: 0; B[32338]: 501
A[502]: 0; B[7912]: 502
A[503]: 0; B[19891]: 503
A[504]: 0; B[20882]: 504
A[505]: 0; B[6010]: 505
A[506]: 0; B[25636]: 506
A[507]: 0; B[15021]: 507
A[508]: 0; B[31215]: 508
A[509]: 0; B[12448]: 509
A[510]: 0; B[24193]: 510
A[511]: 0; B[30230]: 511
A[512]: 0; B[8977]: 512
A[513]: 0; B[21135]: 513
A[514]: 0; B[10774]: 514
A[515]: 0; B[13120]: 515
A[516]: 0; B[17113]: 516
A[517]: 0; B[27496]: 517
A[518]: 0; B[20504]: 518
A[519]: 0; B[9737]: 519
A[520]: 0; B[17437]: 520
A[521]: 0; B[15653]: 521
A[522]: 0; B[20947]: 522
A[523]: 0; B[4364]: 523
A[524]: 0; B[24001]: 524
A[525]: 0; B[28265]: 525
A[526]: 0; B[19180]: 526
A[527]: 0; B[9223]: 527
A[528]: 0; B[1814]: 528
A[529]: 0; B[10634]: 529
A[530]: 0; B[1749]: 530
A[531]: 0; B[13965]: 531
A[532]: 0; B[1394]: 532
A[533]: 0; B[30177]: 533
A[534]: 0; B[9617]: 534
A[535]: 0; B[10988]: 535
A[536]: 0; B[20241]: 536
A[537]: 0; B[14161]: 537
A[538]: 0; B[11178]: 538
A[539]: 0; B[1377]: 539
A[540]: 0; B[16172]: 540
A[541]: 0; B[22]: 541
A[542]: 0; B[6512]: 542
A[543]: 0; B[891]: 543
A[544]: 0; B[22360]: 544
A[545]: 0; B[8399]: 545
A[546]: 0; B[25971]: 546
A[547]: 0; B[16333]: 547
A[548]: 0; B[2593]: 548
A[549]: 0; B[8911]: 549
A[550]: 0; B[30275]: 550
A[551]: 0; B[11736]: 551
A[552]: 0; B[19174]: 552
A[553]: 0; B[6304]: 553
A[554]: 0; B[30567]: 554
A[555]: 0; B[31287]: 555
A[556]: 0; B[24311]: 556
