coordinate,numerical,exact,absolute_error
1,1.00322,1,0.00322401
1.05,1.16054,1.15763,0.00291608
1.1,1.33362,1.331,0.00261666
1.15,1.5232,1.52087,0.002325
1.2,1.73004,1.728,0.00204042
1.25,1.95489,1.95312,0.00176236
1.3,2.19849,2.197,0.0014903
1.35,2.4616,2.46038,0.00122379
1.4,2.74496,2.744,0.000962429
1.45,3.04933,3.04862,0.00070585
1.5,3.37545,3.375,0.000453732
1.55,3.72408,3.72388,0.000205781
1.6,4.09596,4.096,3.82666e-05
1.65,4.49185,4.49212,0.000278651
1.7,4.91248,4.913,0.000515592
1.75,5.35863,5.35938,0.000749287
1.8,5.83102,5.832,0.000979921
1.85,6.33042,6.33163,0.00120766
1.9,6.85757,6.859,0.00143266
1.95,7.41322,7.41487,0.00165506
2,7.99812,8,0.001875
